host,external_salon_id,salon_name,external_therapist_id,therapist_url,fetch_status,http_status,parsed_count,sample_records,error
menzesthe.com,abf96f48-0ee3-4cb6-9795-1c4406812d77,ガールズスパ,6c45e6f2-8862-40e8-b676-d40f16d933df,https://menzesthe.com/profile/mio/,ok,200,0,[],
michelism-sapporo.com,b8820127-2a34-493a-8651-db0f0736e1af,ミシェリ 旧エルベル,d821ce47-e5a7-418e-93b0-a7481dc1aea3,https://michelism-sapporo.com/therapist/773939/,ok,200,0,[],
milk-peach-aroma.com,3a78e7ca-3d43-417e-afec-a37e6891121b,ミルクピーチ,96fc312b-f60d-4231-9639-0b52e3d1c0d1,https://milk-peach-aroma.com/profile.html?sid=40,ok,200,1,"[{""date"":""2026-05-28"",""shift_start"":""12:00:00"",""shift_end"":""21:00:00""}]",
mimispa-ginza.com,716c4451-0190-4269-be70-fe1468b3b64a,ミミスパ 銀座,17cc89a2-97cd-45ea-ab19-1f55d2b47579,https://mimispa-ginza.com/profile?lid=104,ok,200,0,[],
minowa.senju-lamp.com,846d3559-a781-4a2b-bea1-fd8c018b6048,らんぷ 三ノ輪,ee68b70f-f15b-4283-9d3f-95e1167bb4f2,https://minowa.senju-lamp.com/therapist/IDZJPDSW,ok,200,0,[],
minuet2025.com,a70d46ea-b8c0-4211-8605-df57a6fc17dd,ミヌエット,ea0eb348-f4ed-4cd9-a192-1923de8516ae,https://minuet2025.com/profile?lid=38,ok,200,0,[],
mnotameni-esthe.com,bcb7eafd-cfa9-4b36-b31f-799a278d242b,Ｍの為に,3ded2f27-d780-4871-83f3-7ea40f7ce469,https://mnotameni-esthe.com/cast/cast-19797/,http_error,404,0,,HTTP 404 https://mnotameni-esthe.com/cast/cast-19797/
momoten.men-es.jp,ecd53d32-231e-4900-8972-9816bf9a25ab,桃色天使 旧モモテン2.0,94308a10-aac6-45a9-940f-04bc17fa1065,https://momoten.men-es.jp/profile.html?sid=45,ok,200,0,[],
monroe-menes.com,27997dd9-213b-4d61-9145-66f76e882598,モンロー,8a08aa83-b998-4361-9b2c-efcc2129db17,https://monroe-menes.com/cast/%E3%81%88%E3%82%8A/,ok,200,0,[],
motejo.net,5276e337-d2ea-43f3-a971-ca5d30ea0810,モテジョ,1ee13e1d-e6b7-4dc1-9d31-ee615f0611f3,https://motejo.net/list/profile/?uid=17,ok,200,0,[],
